date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),time,species,investigator_or_source,hour,type_spec
25-Jun-2018,2018,Boating,USA,California,"Oceanside, San Diego County",Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00,WHITE SHARK,"R. Collier, GSAF",18,WHITE
18-Jun-2018,2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,Y,14h00  -15h00,NAN,"K.McMurray, TrackingSharks.com",14,
09-Jun-2018,2018,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,48,Injury to left lower leg from surfboard skeg,Y,07h45,NAN,"K.McMurray, TrackingSharks.com",07,
08-Jun-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,M,,Minor injury to lower leg,N,,2 M SHARK,"B. Myatt, GSAF",,
04-Jun-2018,2018,Provoked,MEXICO,Colima,La Ticla,Free diving,M,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,,"TIGER SHARK, 3M",A .Kipper,,TIGER
03-Jun-2018,2018,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Kite surfing,M,,"No injury, board bitten",N,,NAN,"Daily Telegraph, 6/4/2018",,
03-Jun-2018,2018,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,Late afternoon,TIGER SHARK,"Diario de Pernambuco, 6/4/2018",,TIGER
27-May-2018,2018,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,,"LEMON SHARK, 3'","K. McMurray, TrackingSharks.com",,LEMON
26-May-2018,2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,Y,17h00,"BULL SHARK, 6'","K.McMurray, TrackingSharks.com",17,BULL
26-May-2018,2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,14h00,NAN,"K. McMurray, Tracking Sharks.com",14,
24-May-2018,2018,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,GREY REEF SHARK,"ABC.net.au ,05/24/2018",,
21-May-2018,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,10,Injuries to lower right leg and foot,N,,NAN,"C. Creswell, GSAF",,
13-May-2018,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15h00,NAN,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",15,
13-May-2018,2018,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,INVALID INCIDENT,"K. McMurray, TrackingSharks.com",08,
May 2018,2018,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,,"TAWNY NURSE SHARK, 2M","Perth Now, 6/30/2018",,NURSE
12-May-2018,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,"Minor injury, marks on board",N,11h00,NAN,"B.Jacob, Dispatch Live, 5/12/2018",11,
09-May-2018,2018,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,"No injury, surfboard damaged",N,10h30,SHARK INVOLVEMENT NOT CONFIRMED,"B. Myatt, GSAF",10,
Reported 30-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,,Minor injury to ankle,N,,NAN,"K. McMurray, TrackingSharks.com",,
28-Apr-2018,2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40,TIGER SHARK,Costa Rica Star. 4/28/2018,10,TIGER
28-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,,"No injury, knocked off board by shark",N,16h50,NAN,"B. Myatt, GSAF",16,
25-Apr-2018,2018,Questionable,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,,No injury,N,07h00,QUESTIONABLE,"B. Myatt, GSAF",07,
25-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,09h30,3 M SHARK,"B.Myatt, GSAF",09,
24-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,"No injury, shark struck his leg",N,Afternoon,"WHITE SHARK, 3.5 M","B. Myatt, GSAF",,WHITE
23-Apr-2018,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,21h50,TIGER SHARK,"K. McMurray, TrackingSharks.com",21,TIGER
